prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,937,663,274,0,0,0.7075773745997865,1.0,0.82875
2,937,663,274,0,0,0.7075773745997865,1.0,0.82875
3,937,663,274,0,0,0.7075773745997865,1.0,0.82875
4,937,663,274,0,0,0.7075773745997865,1.0,0.82875
5,937,663,274,0,0,0.7075773745997865,1.0,0.82875
6,937,663,274,0,0,0.7075773745997865,1.0,0.82875
7,937,663,274,0,0,0.7075773745997865,1.0,0.82875
8,937,663,274,0,0,0.7075773745997865,1.0,0.82875
9,937,663,274,0,0,0.7075773745997865,1.0,0.82875
10,937,663,274,0,0,0.7075773745997865,1.0,0.82875
11,937,663,274,0,0,0.7075773745997865,1.0,0.82875
12,937,663,274,0,0,0.7075773745997865,1.0,0.82875
13,937,663,274,0,0,0.7075773745997865,1.0,0.82875
14,937,663,274,0,0,0.7075773745997865,1.0,0.82875
15,937,663,274,0,0,0.7075773745997865,1.0,0.82875
16,937,663,274,0,0,0.7075773745997865,1.0,0.82875
17,916,662,254,0,0,0.722707423580786,1.0,0.8390367553865653
18,915,662,253,0,0,0.7234972677595628,1.0,0.839568801521877
19,897,661,236,0,0,0.7369007803790413,1.0,0.8485237483953787
20,895,661,234,0,0,0.7385474860335196,1.0,0.8496143958868895
21,872,657,215,0,0,0.7534403669724771,1.0,0.8593852190974492
22,864,657,207,0,0,0.7604166666666666,1.0,0.8639053254437871
23,830,637,193,0,0,0.7674698795180723,1.0,0.8684389911383776
24,814,635,179,0,0,0.7800982800982801,1.0,0.8764665286404417
25,770,599,171,0,0,0.7779220779220779,1.0,0.87509130752374
26,752,589,163,0,0,0.7832446808510638,1.0,0.8784489187173751
27,706,556,150,0,0,0.7875354107648725,1.0,0.8811410459587956
28,686,547,139,0,0,0.7973760932944607,1.0,0.8872668288726683
29,642,511,131,0,0,0.7959501557632399,1.0,0.8863833477883781
30,618,498,120,0,0,0.8058252427184466,1.0,0.8924731182795699
31,582,467,115,0,0,0.802405498281787,1.0,0.890371782650143
32,547,444,103,0,0,0.8117001828153565,1.0,0.8960645812310797
33,509,415,94,0,0,0.8153241650294696,1.0,0.8982683982683983
34,483,394,89,0,0,0.8157349896480331,1.0,0.8985176738882553
35,452,368,84,0,0,0.8141592920353983,1.0,0.8975609756097562
