prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
2,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
3,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
4,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
5,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
6,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
7,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
8,154,24,130,0,0,0.15584415584415584,1.0,0.2696629213483146
9,152,24,128,0,0,0.15789473684210525,1.0,0.2727272727272727
10,142,24,118,0,0,0.16901408450704225,1.0,0.2891566265060241
11,129,23,106,0,0,0.17829457364341086,1.0,0.3026315789473684
12,109,23,86,0,0,0.21100917431192662,1.0,0.3484848484848485
13,93,23,70,0,0,0.24731182795698925,1.0,0.39655172413793105
14,82,21,61,0,0,0.25609756097560976,1.0,0.4077669902912621
15,61,17,44,0,0,0.2786885245901639,1.0,0.43589743589743585
16,51,16,35,0,0,0.3137254901960784,1.0,0.47761194029850745
17,40,14,26,0,0,0.35,1.0,0.5185185185185185
18,38,13,25,0,0,0.34210526315789475,1.0,0.5098039215686275
19,35,11,24,0,0,0.3142857142857143,1.0,0.4782608695652174
20,28,8,20,0,0,0.2857142857142857,1.0,0.4444444444444445
21,25,8,17,0,0,0.32,1.0,0.48484848484848486
22,21,7,14,0,0,0.3333333333333333,1.0,0.5
